condition,label,mean_diff_vs_seq,ci95_lo,ci95_hi,p_raw,p_BH
2,Seq + BP,-0.0096,-0.0163,-0.0009,0.9688,1.0
3,Seq + MF,-0.0047,-0.0113,0.0033,0.9062,1.0
4,Seq + CC,-0.0066,-0.0099,-0.0045,1.0,1.0
5,Seq + BP + MF,-0.0107,-0.0218,0.0014,0.9375,1.0
6,Seq + BP + CC,-0.0076,-0.0166,0.0053,0.8438,1.0
7,Seq + MF + CC,0.0024,-0.0094,0.0163,0.5,1.0
8,Seq + BP + MF + CC,-0.007,-0.0176,0.0018,0.9062,1.0
