condition,label,fold,auprc,auroc,macro_f1,mcc
1,Seq only,0,0.3215499025260611,0.8148194099807002,0.4992144358956586,0.2596561547028739
1,Seq only,1,0.13427421136551357,0.6127308848797252,0.45095090336539984,0.12017185312020526
1,Seq only,2,0.34521981678940905,0.785863428969144,0.5019501133786848,0.2669898007853852
1,Seq only,3,0.42000414363613703,0.738265739600853,0.554399833576035,0.2624118423338472
1,Seq only,4,0.1417724019395855,0.5780742145178763,0.43750584385226743,0.014325350876621262
2,Seq + BP,0,0.3495679359130678,0.7585194375516956,0.48585742254981,0.22610151447600327
2,Seq + BP,1,0.13980232693305716,0.6386651632302406,0.4843037042492083,0.18669674652242338
2,Seq + BP,2,0.2908220542428893,0.7978759054468589,0.5008363830889283,0.2659429906066081
2,Seq + BP,3,0.4437800722678476,0.7427912541397187,0.5702144835553329,0.28100605041506727
2,Seq + BP,4,0.14206929160263385,0.5820693391115925,0.44451754385964914,0.043188036365557306
3,Seq + MF,0,0.4050541188090496,0.8130548662806727,0.5071050127496385,0.2881000799960139
3,Seq + MF,1,0.13194975230493095,0.623523410652921,0.46272203409968515,0.11928981041416
3,Seq + MF,2,0.341211819322907,0.8146572835305339,0.4991701442241758,0.27797621491899516
3,Seq + MF,3,0.4452181980373028,0.7518596223536143,0.5473891003008613,0.2416454669778343
3,Seq + MF,4,0.13449652570040777,0.5688876850848682,0.45159530553959165,0.05132083719059256
4,Seq + CC,0,0.3927229922501457,0.7879652605459058,0.48419699112768416,0.2315390419372029
4,Seq + CC,1,0.13290109487158963,0.6178855240549828,0.4548398868716358,0.1440536996165189
4,Seq + CC,2,0.3799989513285989,0.8170804011032918,0.4982879818594105,0.2568352284387641
4,Seq + CC,3,0.4426521292065934,0.7609626688398384,0.5663618456527241,0.2847540347029688
4,Seq + CC,4,0.13763703058529242,0.5688876850848682,0.4490518539431583,0.03805949972927203
5,Seq + BP + MF,0,0.25780237353114044,0.7916597739178385,0.5126431187132063,0.29323035766823846
5,Seq + BP + MF,1,0.1320130947477166,0.6097508591065293,0.45204888356903256,0.09534774332979883
5,Seq + BP + MF,2,0.3193699397087958,0.7861985409738872,0.5050391937290033,0.2901883460272618
5,Seq + BP + MF,3,0.4594950013085181,0.753801605604009,0.5545564872021183,0.2542461537268867
5,Seq + BP + MF,4,0.13645504298485905,0.565885698808234,0.47913313122964396,0.13006270704635675
6,Seq + BP + CC,0,0.34570436821329115,0.7857320099255584,0.4821317516987217,0.21559837835696433
6,Seq + BP + CC,1,0.17578844181019762,0.6624785223367697,0.45027960126428396,0.11291210022335361
6,Seq + BP + CC,2,0.42575760437803384,0.8158430644703942,0.4963848979074906,0.2617803496130397
6,Seq + BP + CC,3,0.4716844285925374,0.7704298371855114,0.5786392828472037,0.29916941969659155
6,Seq + BP + CC,4,0.1457705188113139,0.5769230769230769,0.434396497811132,0.03164218463092868
7,Seq + MF + CC,0,0.2925046912882063,0.7914667769506479,0.48897664835164834,0.24304933360782258
7,Seq + MF + CC,1,0.14314597739530738,0.6358462199312714,0.4536447845348369,0.12950281001838837
7,Seq + MF + CC,2,0.3463134509392817,0.821565746397546,0.48767057561774124,0.23339002533737022
7,Seq + MF + CC,3,0.4271178499085502,0.7321970419433704,0.5678351618945678,0.2741039086779588
7,Seq + MF + CC,4,0.15527475392989473,0.6211403033586131,0.48179824561403506,0.13840807558791232
8,Seq + BP + MF + CC,0,0.401487952983318,0.7876344086021505,0.4788177898797368,0.22652899573723087
8,Seq + BP + MF + CC,1,0.13835091928816118,0.6179660652920962,0.46290957376813846,0.11313266733645806
8,Seq + BP + MF + CC,2,0.3469498151378485,0.8073879308122599,0.5005345175525516,0.28609483537192
8,Seq + BP + MF + CC,3,0.43798097802800967,0.7436408718117662,0.5626940733127783,0.28049348778786265
8,Seq + BP + MF + CC,4,0.14039302964693584,0.5770359335500179,0.44890520383631055,0.05874982418435283
