tertile,n,n_pos,auprc_seq,auprc_all_go,delta
low,427,27,0.14046097080248354,0.1685293058204203,0.028068335017936763
mid,426,75,0.2595320675363383,0.24867322556689947,-0.010858841969438815
high,426,86,0.25142525744652156,0.22073147126178805,-0.030693786184733507
