condition,label,fold,auprc,auroc,macro_f1,bal_acc,mcc
1,Seq only,0,0.14300077988972948,0.5280869104398516,0.5154018241266564,0.5149708532061473,0.0311472986779913
1,Seq only,1,0.22377143762296012,0.5242545616377392,0.4742978272390037,0.4819759679572764,-0.04419395675118077
1,Seq only,2,0.161229992599918,0.5539215686274509,0.49874686716791977,0.5013248542660307,0.0032084463438223124
1,Seq only,3,0.20446545977475866,0.5926767676767677,0.5357142857142857,0.5333333333333333,0.07425486153211036
1,Seq only,4,0.25296632274610603,0.6587301587301587,0.4963401882188916,0.5075452716297787,0.023788555488583166
2,Seq + BP,0,0.1501002277931035,0.536168521462639,0.47818997146351405,0.4788023317435082,-0.04350458540743126
2,Seq + BP,1,0.21862704096431365,0.5465064530485091,0.4861648745519713,0.4959946595460614,-0.011054267384512453
2,Seq + BP,2,0.1833106059152539,0.5551139374668786,0.5238557334627203,0.5227874933757286,0.057633035934595844
2,Seq + BP,3,0.19775898438942713,0.6002525252525253,0.5565454095520911,0.5517676767676768,0.1171794994011105
2,Seq + BP,4,0.25797530576215094,0.6965124077800134,0.48412534577432803,0.5026827632461435,0.009795701322142024
3,Seq + MF,0,0.142066367167725,0.5284843667196608,0.4607963038456312,0.4618441971383148,-0.07830825373337627
3,Seq + MF,1,0.22238621704473233,0.5588562527814864,0.49340935770585276,0.4985536270583,-0.003608824992989598
3,Seq + MF,2,0.18187656228697915,0.5854531001589824,0.5076923076923077,0.5103338632750397,0.027433670715718467
3,Seq + MF,3,0.2024045775110962,0.597979797979798,0.5449270501425457,0.5426767676767676,0.0909519467430062
3,Seq + MF,4,0.23647138028712522,0.6549295774647886,0.4747482453463534,0.4909456740442656,-0.027697567269548005
4,Seq + CC,0,0.13768059049400122,0.5184154742978273,0.4801583204267768,0.48105458399576045,-0.03941649301728103
4,Seq + CC,1,0.21815027384976407,0.5461726746773476,0.49340935770585276,0.4985536270583,-0.003608824992989598
4,Seq + CC,2,0.16860083140059584,0.5704822469528352,0.5054055165042957,0.5080816110227875,0.020926322375078563
4,Seq + CC,3,0.19618183247481522,0.6233585858585858,0.520103425985779,0.5196969696969697,0.040353021376951285
4,Seq + CC,4,0.2715269348575551,0.6848871003800582,0.5414585414585414,0.5407444668008048,0.1374148671266307
5,Seq + BP + MF,0,0.14602383357329818,0.5364334923158453,0.525172231054584,0.525172231054584,0.050344462109167994
5,Seq + BP + MF,1,0.20639983074702842,0.5067868268802849,0.5022448474564287,0.5078994214508233,0.021321278059296265
5,Seq + BP + MF,2,0.17975074504053956,0.5829358770535241,0.5100165879800944,0.5125861155272919,0.03430948854581488
5,Seq + BP + MF,3,0.18332533938293075,0.5794191919191919,0.5203450348216495,0.5194444444444445,0.044013763189685404
5,Seq + BP + MF,4,0.24709054100434547,0.664319248826291,0.4963401882188916,0.5075452716297787,0.023788555488583166
6,Seq + BP + CC,0,0.15682299564873348,0.5434552199258081,0.5012615374788413,0.5014573396926338,0.0028130912224505655
6,Seq + BP + CC,1,0.22899067449165098,0.5524032042723631,0.4955836390813969,0.5008900756564307,0.002261719995005831
6,Seq + BP + CC,2,0.18967871348568366,0.5663751987281399,0.5388471177944862,0.5352411234764176,0.0853446727456735
6,Seq + BP + CC,3,0.2045573513845052,0.6237373737373737,0.510581921851417,0.5103535353535353,0.022065265186173102
6,Seq + BP + CC,4,0.26905455741754725,0.6980773530069305,0.5006993006993007,0.5122401073105298,0.041281009466024865
7,Seq + MF + CC,0,0.14202582035314337,0.5255696873343932,0.5068154556359274,0.5070217276099629,0.015516376042465826
7,Seq + MF + CC,1,0.20841217603449982,0.5114597240765465,0.4666666666666667,0.472630173564753,-0.06302585180631796
7,Seq + MF + CC,2,0.16756097156185956,0.56120826709062,0.5360709465972624,0.5329888712241654,0.07830175903069796
7,Seq + MF + CC,3,0.2186296638073663,0.618560606060606,0.5576946809823522,0.5590909090909091,0.11555618961046167
7,Seq + MF + CC,4,0.23985637704086477,0.6585065951263134,0.5160915533867783,0.5217974513749162,0.06872249363368471
8,Seq + BP + MF + CC,0,0.13607671269261962,0.5115262321144675,0.4955836390813969,0.49576046634870163,-0.008700917081486252
8,Seq + BP + MF + CC,1,0.2394943651163474,0.5292612372051624,0.49340935770585276,0.4985536270583,-0.003608824992989598
8,Seq + BP + MF + CC,2,0.1791935281095717,0.5768415474297828,0.5416749552416948,0.5374933757286698,0.09273782518384084
8,Seq + BP + MF + CC,3,0.2353087413560181,0.6279040404040405,0.544668767747371,0.5452020202020202,0.08937735785925392
8,Seq + BP + MF + CC,4,0.24616438943723323,0.6808629555108427,0.5226094470046083,0.5243125419181757,0.06708507058572795
