condition,label,fold,auprc,auroc,macro_f1,bal_acc,mcc
1,Seq only,0,0.1880750473185673,0.6201642819289879,0.4031299904183967,0.5964493905670376,0.13783180776911166
1,Seq only,1,0.25800634013390716,0.670115709835336,0.47714452441159305,0.6290609701824655,0.19463367790756278
1,Seq only,2,0.21363532393119877,0.5883677795442501,0.4287919204120322,0.5634605193428723,0.08691686888978704
1,Seq only,3,0.2518975550729507,0.6720959595959596,0.41700404858299595,0.6262626262626263,0.18696638816981923
1,Seq only,4,0.27393738338886453,0.7205454951933825,0.4885351647117344,0.6779007377598927,0.2735554218505014
2,Seq + BP,0,0.16827397934319344,0.6164546899841018,0.39271255060728744,0.5998940116587175,0.1453127913932326
2,Seq + BP,1,0.24670962352258308,0.6603248776145972,0.475,0.6194926568758344,0.17968183865040865
2,Seq + BP,2,0.20293269737765057,0.5832008479067302,0.4202496074055707,0.5669051404345522,0.0923256353226743
2,Seq + BP,3,0.23923303324903736,0.6853535353535354,0.431436004822641,0.646969696969697,0.21634491845390835
2,Seq + BP,4,0.2803794783312912,0.7084730605857367,0.4835733573357336,0.6659959758551308,0.25469487634839355
3,Seq + MF,0,0.17853520572182013,0.6332803391626921,0.3989466336696491,0.604398516163222,0.15091638750609584
3,Seq + MF,1,0.2465875985181058,0.6728971962616823,0.4760776730319878,0.6362928348909658,0.20654182804091845
3,Seq + MF,2,0.20152817998395434,0.5975092739798622,0.43134512546277254,0.5963169051404346,0.13331657046454476
3,Seq + MF,3,0.2610627366738779,0.6828282828282828,0.431436004822641,0.646969696969697,0.21634491845390835
3,Seq + MF,4,0.27415430418544606,0.7057902973395931,0.47065022994379146,0.6566063044936284,0.24249962081144438
4,Seq + CC,0,0.18226510024739262,0.6130100688924218,0.4143750699876822,0.6156597774244833,0.164844725139133
4,Seq + CC,1,0.2532285625801589,0.6724521584334668,0.4635184207579466,0.6269470404984424,0.19382048631114246
4,Seq + CC,2,0.20078374344604194,0.5851881293057764,0.4258196450953229,0.5816110227874934,0.11278628669690521
4,Seq + CC,3,0.2459402532298304,0.6720959595959596,0.42016314247247954,0.6285353535353535,0.18976130781950903
4,Seq + CC,4,0.27028340719659394,0.7113793874357255,0.4996026661909473,0.6777330650570087,0.2700516430614081
5,Seq + BP + MF,0,0.17371792956478393,0.6122151563328033,0.39699516170104404,0.5919448860625331,0.1321295129336008
5,Seq + BP + MF,1,0.24319346612329906,0.6698931909212282,0.4647108022904201,0.6197151757899422,0.18173912632797548
5,Seq + BP + MF,2,0.1835864503347855,0.5822734499205088,0.4342634738439211,0.5985691573926868,0.13622239821834006
5,Seq + BP + MF,3,0.24786164353015125,0.6906565656565656,0.40747272126088396,0.6194444444444445,0.17856527522221993
5,Seq + BP + MF,4,0.28348685252740524,0.729599821149117,0.49,0.670690811535882,0.2608195703699263
6,Seq + BP + CC,0,0.17439600483533327,0.6148648648648649,0.3945127719962157,0.6123476417594065,0.1645161640752629
6,Seq + BP + CC,1,0.25065904910305253,0.6534267912772586,0.4657607376850279,0.6124833110814419,0.169896836223189
6,Seq + BP + CC,2,0.19900676148820348,0.6028086910439852,0.41371189111049755,0.5828033916269211,0.11585362787569593
6,Seq + BP + CC,3,0.23174226834169864,0.6830808080808081,0.41714949675758006,0.6472222222222221,0.22159796941199172
6,Seq + BP + CC,4,0.2919816850352559,0.7177509501453163,0.4817741935483871,0.6564386317907445,0.2390419048675258
7,Seq + MF + CC,0,0.1837134989594542,0.6368574456809751,0.4113062919195145,0.6134075251722311,0.16206597177247195
7,Seq + MF + CC,1,0.25296115680089837,0.6710057854917668,0.4854438176749011,0.6433021806853583,0.21611049753874215
7,Seq + MF + CC,2,0.19770405649250117,0.5941971383147855,0.4488326717351813,0.5996290408055114,0.13631436760995128
7,Seq + MF + CC,3,0.26491592378749496,0.6667929292929293,0.4058834598256288,0.6287878787878788,0.19454061036710082
7,Seq + MF + CC,4,0.2984963605961113,0.7247932036664431,0.4785779838670724,0.6540912139503688,0.2359327014863689
8,Seq + BP + MF + CC,0,0.16377272081739436,0.5983041865394807,0.3989466336696491,0.604398516163222,0.15091638750609584
8,Seq + BP + MF + CC,1,0.25394337582634363,0.6761237205162439,0.4653657914454701,0.6365153538050734,0.20929954578933857
8,Seq + BP + MF + CC,2,0.21126142132929626,0.597244303126656,0.4146341463414634,0.5521992580816111,0.07193027316277642
8,Seq + BP + MF + CC,3,0.2387583588290597,0.6872474747474748,0.4187322611163671,0.6378787878787878,0.20545111043434097
8,Seq + BP + MF + CC,4,0.282655917557427,0.7185334227587749,0.47036661353427034,0.6398390342052314,0.21411085205618244
