fold,n_train,n_test,pos_train,pos_test,auprc,auroc,macro_f1,bal_acc
0,1023,256,154,34,0.13011269230423955,0.5013248542660308,0.46443514644351463,0.5
1,1023,256,146,42,0.15208884545362872,0.4546061415220294,0.4553191489361702,0.5
2,1023,256,154,34,0.16596569592641516,0.5383545310015898,0.46443514644351463,0.5
3,1023,256,152,36,0.16883332413098023,0.5318181818181817,0.46218487394957986,0.5
4,1024,255,146,42,0.21339846967417983,0.6008830762351889,0.4551282051282051,0.5
