fold,auprc,auroc,macro_f1,bal_acc
0,0.135542714884129,0.4966878643349231,0.46443514644351463,0.5
1,0.203699396102022,0.5053404539385847,0.4553191489361702,0.5
2,0.15692858152204395,0.5496820349761526,0.46443514644351463,0.5
3,0.21698547515779784,0.5860479797979798,0.4610526315789474,0.49772727272727274
4,0.25292540107746964,0.6794097920858484,0.4551282051282051,0.5
